"","grid_no","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"98",93177,4.67949642340209,7.8655917091169,8.09796326423125,6.45218203262993,9.89785063497639,6.22466263751396,9.67790876885983,12.3513030609098,9.23584656322665,7.44943828752289,6.53087237823725,9.97409565583294,8.22850958222093
"99",93179,3.95930053994923,7.70779457205018,8.24867837289199,6.70355679340312,9.61385797967624,5.03785246492951,8.58494372513482,9.51862472863698,8.53826500215013,5.17921719724408,6.32600446405487,10.2321990092136,9.10980927182636
"100",93180,4.14181022102127,8.66701684952345,7.18616797653214,8.32828268234949,10.4762504550235,4.9157407058339,10.6851161827414,11.7922321601357,9.55832340777296,8.58859320271574,6.51403553502986,10.2366213815607,6.69139459784183
"101",93182,4.97777201596528,5.60561065465481,8.2568294433409,8.3158304317546,11.704976563321,5.40107240518048,11.4582837526771,10.9554454509518,10.1066846391396,9.22891102770943,6.61925801438731,9.16388343801888,6.94582553598787
"102",94179,3.40793927574555,6.20878486814243,7.68955114325093,6.28001044002381,8.56701510357672,4.68916794484882,8.44553533422287,8.953347406787,8.42847996496295,4.81418072532303,6.28135481190096,10.7602926683953,8.22850958222093
"103",95180,3.75565887979118,5.26749647884341,7.85781061404751,5.41571630540672,9.41104806043643,4.89625086389478,7.92137688745562,9.38920720660942,7.83066168807625,5.29289951801643,5.48674352096249,8.93036959728219,6.16602174360472
"104",109156,1.61362406724787,1.31050293688808,2.23518156681936,2.48166368217471,2.10665994230777,6.00911065300814,2.2620868566532,4.84537325950634,2.69490251639229,5.80540336087095,4.39726831271115,3.79917454807855,3.77288164455811
"105",110155,1.48173848192372,1.45827671679986,2.44788719636656,2.33811239498402,1.94609309539506,6.41865246912422,2.33973600274988,4.78952255672938,2.87276457425598,6.64473996405328,4.76308909434629,3.90871131944861,3.8130131991694
"106",84184,6.09802008209553,3.76477886669704,7.93258231665865,4.43437615761774,4.4657846863138,6.91828717799984,7.87266030884807,9.94526648973843,4.13103357640759,7.28384991721249,6.06912605466153,7.70188354488281,8.27186538831872
"107",85184,6.04279883618427,3.80327276014865,8.52826429868547,4.76766569312289,4.53639947327315,6.80812987770945,8.32975316843496,10.1885343308405,3.59510114352596,7.46450554264262,6.41335829436914,7.38880483799984,8.14937679707717
"108",86184,4.8310447994197,3.563937796644,9.36823625741248,5.12614275408536,5.63626803282849,5.24435330469962,8.14078488398949,8.53222962801637,4.05776502145548,7.36649108535205,5.96211606537559,7.46740846921461,6.08171082021724
"109",87179,4.88782102997705,4.03300016100377,7.72336917831239,5.10958834884779,8.48417961668459,4.21197200716667,5.42575282529775,6.74314024579228,6.54323034387146,7.00363316129165,5.06060668952789,6.31375347655098,5.36361216257779
"110",88180,5.09745784570033,6.77848153076226,7.85187794101794,7.6747386165588,9.7104212659318,6.39132851372775,7.50847097507019,8.83855591225743,9.21469811934954,7.4464523317689,5.35915403562546,6.51678336780799,5.19263764069247
"111",88184,5.17447204519082,4.0706782056367,8.62510354658841,5.98920703390122,8.07841133920473,5.881408470259,9.28660014224803,8.54499787037276,5.3375693257336,7.15746861887537,6.11902603467127,8.24940212000964,6.99967496841399
"112",88186,5.06926579288273,3.62051428842224,7.92798909867838,4.2809901543347,4.85881031570391,5.12913458649745,7.68154738153789,6.37995547851179,3.00795820596427,4.45495257734794,7.37142240663795,8.65913712520191,8.04436759809435
"113",89187,4.73152488448665,5.66964003771655,7.76780643619636,6.34830246798111,8.32497239303917,6.95381628804749,9.38561405539301,8.98609363597694,8.29935407276884,4.45425393498263,5.89146137662518,8.36660713681827,9.18819326921406
"114",90191,4.40536350809176,5.03903843250014,8.68281860875245,8.15721146481792,9.67197371140248,8.51028680245624,9.5392931615774,9.98589854787159,9.97357461789074,5.23158385476512,6.07680308578396,9.64366700802859,9.98689952218544
